shape,convex,x_raw,algorithm,parameter,dist_euclidean,dist_horizontal
A,convex,32,alpha_shape,0.051,28.84527691,31.5
A,convex,32,alpha_shape,0.053,28.84527691,31.5
A,convex,32,alpha_shape,0.055,28.84527691,31.5
A,convex,32,alpha_shape,0.06,28.84527691,31.5
A,convex,32,alpha_shape,0.1,28.84527691,31.5
A,convex,32,alpha_shape,0.2,28.84527691,31.5
A,convex,32,alpha_shape,0.3,28.84527691,31.5
A,convex,32,alpha_shape,0.6,28.84527691,31.5
A,convex,32,alpha_shape,1,28.84527691,31.5
A,convex,45,alpha_shape,0.01,40.5123438,44.5
A,convex,45,alpha_shape,0.02,40.5123438,44.5
A,convex,45,alpha_shape,0.03,40.5123438,44.5
A,convex,45,alpha_shape,0.04,40.5123438,44.5
A,convex,45,alpha_shape,0.045,40.5123438,44.5
A,convex,45,alpha_shape,0.047,40.5123438,44.5
A,convex,45,alpha_shape,0.049,40.5123438,44.5
A,convex,45,alpha_shape,0.05,40.5123438,44.5
A,convex,45,alpha_shape,0.051,40.5123438,44.5
A,convex,45,alpha_shape,0.053,40.5123438,44.5
A,convex,45,alpha_shape,0.055,40.5123438,44.5
A,convex,45,alpha_shape,0.06,40.5123438,44.5
A,convex,45,alpha_shape,0.1,40.5123438,44.5
A,convex,45,alpha_shape,0.2,40.5123438,44.5
A,convex,45,alpha_shape,0.3,40.5123438,44.5
A,convex,45,alpha_shape,0.6,40.5123438,44.5
A,convex,45,alpha_shape,1,40.5123438,44.5
A,convex,64,alpha_shape,0.01,58.38021925,63.5
A,convex,64,alpha_shape,0.02,58.38021925,63.5
A,convex,64,alpha_shape,0.03,58.38021925,63.5
A,convex,64,alpha_shape,0.04,58.38021925,63.5
A,convex,64,alpha_shape,0.045,58.38021925,63.5
A,convex,64,alpha_shape,0.047,58.38021925,63.5
A,convex,64,alpha_shape,0.049,58.38021925,63.5
A,convex,64,alpha_shape,0.05,58.38021925,63.5
A,convex,64,alpha_shape,0.051,58.38021925,63.5
A,convex,64,alpha_shape,0.053,58.38021925,63.5
A,convex,64,alpha_shape,0.055,58.38021925,63.5
A,convex,64,alpha_shape,0.06,58.38021925,63.5
A,convex,64,alpha_shape,0.1,58.38021925,63.5
A,convex,64,alpha_shape,0.2,58.38021925,63.5
A,convex,64,alpha_shape,0.3,58.38021925,63.5
A,convex,64,alpha_shape,0.6,58.38021925,63.5
A,convex,64,alpha_shape,1,58.38021925,63.5
B,concave,0,alpha_shape,0.01,0,-10.5
B,concave,0,alpha_shape,0.02,0,-10.5
B,concave,0,alpha_shape,0.03,0,-8.5
B,concave,0,alpha_shape,0.04,0,-7.5
B,concave,0,alpha_shape,0.045,0,-7.5
B,concave,0,alpha_shape,0.047,0,-6.5
B,concave,0,alpha_shape,0.049,0,-6.5
B,concave,0,alpha_shape,0.05,0,-6.5
B,concave,0,alpha_shape,0.051,0,-6.5
B,concave,0,alpha_shape,0.053,0,-6.5
B,concave,0,alpha_shape,0.055,0,-6.5
B,concave,0,alpha_shape,0.06,0,-5.5
B,concave,0,alpha_shape,0.1,0.750713517,0.5
B,concave,0,alpha_shape,0.2,0.948683298,0.5
B,concave,0,alpha_shape,0.3,0.948683298,0.5
B,concave,0,alpha_shape,0.6,1,0.5
B,concave,0,alpha_shape,1,1,0.5
B,concave,4,alpha_shape,0.01,0,-6.5
B,concave,4,alpha_shape,0.02,0,-6.5
B,concave,4,alpha_shape,0.03,0,-4.5
B,concave,4,alpha_shape,0.04,0,-3.5
B,concave,4,alpha_shape,0.045,0,-3.5
B,concave,4,alpha_shape,0.047,0,-2.5
B,concave,4,alpha_shape,0.049,0,-2.5
B,concave,4,alpha_shape,0.05,0,-2.5
B,concave,4,alpha_shape,0.051,0,-2.5
B,concave,4,alpha_shape,0.053,0,-2.5
B,concave,4,alpha_shape,0.055,0,-2.5
B,concave,4,alpha_shape,0.06,0,-1.5
B,concave,4,alpha_shape,0.1,3.753567585,4.5
B,concave,4,alpha_shape,0.2,4.695742753,4.5
B,concave,4,alpha_shape,0.3,4.695742753,4.5
B,concave,4,alpha_shape,0.6,4.695742753,4.5
B,concave,4,alpha_shape,1,4.695742753,4.5
B,concave,8,alpha_shape,0.01,0,-2.5
B,concave,8,alpha_shape,0.02,0,-2.5
B,concave,8,alpha_shape,0.03,0,-0.5
B,concave,8,alpha_shape,0.04,0.535302929,0.5
B,concave,8,alpha_shape,0.045,1.272310622,0.5
B,concave,8,alpha_shape,0.047,1.726172436,1.5
B,concave,8,alpha_shape,0.049,1.726172436,1.5
B,concave,8,alpha_shape,0.05,1.726172436,1.5
B,concave,8,alpha_shape,0.051,1.726172436,1.5
B,concave,8,alpha_shape,0.053,1.726172436,1.5
B,concave,8,alpha_shape,0.055,1.726172436,1.5
