shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
catch_shape,no_change4,6,62,same,9,3307.9,control,same,catch_shape_no_change4,1,none,2
shape2,no_change3,7,63,same,7,3133,control,same,shape2_no_change3,1,none,2
shape1,no_change3,7,64,same,7,2501.7,control,same,shape1_no_change3,1,none,2
shape7,no_change6,7,65,same,4,2214.4,control,same,shape7_no_change6,1,none,2
shape3,convex_area1,7,66,different,8,3536.6,control,different,shape3_convex_area1,1,convex,2
catch_shape,change2,7,67,different,9,1822.3,control,different,catch_shape_change2,1,none,2
shape4,no_change2,7,68,same,9,1208.4,control,same,shape4_no_change2,1,none,2
shape5,concave_nofill_area1,7,69,different,8,1921.6,control,different,shape5_concave_nofill_area1,1,concave_nofill,2
shape6,concave_nofill_area1,7,70,different,3,3587.9,control,different,shape6_concave_nofill_area1,1,concave_nofill,2
shape8,concave_nofill_area1,7,71,different,7,2202.5,control,different,shape8_concave_nofill_area1,1,concave_nofill,2
shape6,concave_area1,8,72,different,4,2437.2,control,different,shape6_concave_area1,1,concave,2
shape3,concave_nofill_area1,8,73,different,7,1828.7,control,different,shape3_concave_nofill_area1,1,concave_nofill,2
shape1,no_change1,8,74,same,4,2621.3,control,same,shape1_no_change1,1,none,2
shape7,concave_area2,8,75,same,6,1978,control,different,shape7_concave_area2,0,concave,2
shape5,no_change6,8,76,same,7,2693.9,control,same,shape5_no_change6,1,none,2
shape2,concave_nofill_area1,8,77,different,9,1538.1,control,different,shape2_concave_nofill_area1,1,concave_nofill,2
shape8,convex_area2,8,78,different,9,1498.8,control,different,shape8_convex_area2,1,convex,2
catch_shape,change4,8,79,different,9,2005.9,control,different,catch_shape_change4,1,none,2
shape4,no_change3,8,80,different,3,1882.4,control,same,shape4_no_change3,0,none,2
shape6,no_change1,9,81,same,3,1528.9,control,same,shape6_no_change1,1,none,2
shape1,no_change5,9,82,same,9,1636.2,control,same,shape1_no_change5,1,none,2
shape2,no_change4,9,83,same,9,1349.4,control,same,shape2_no_change4,1,none,2
shape8,convex_area1,9,84,different,5,2590.5,control,different,shape8_convex_area1,1,convex,2
shape7,convex_area1,9,85,different,4,2306.6,control,different,shape7_convex_area1,1,convex,2
shape5,no_change4,9,86,same,9,1260.5,control,same,shape5_no_change4,1,none,2
shape4,concave_area1,9,87,different,9,1100,control,different,shape4_concave_area1,1,concave,2
catch_shape,no_change5,9,88,same,9,1952.5,control,same,catch_shape_no_change5,1,none,2
shape3,convex_area2,9,89,different,1,3014.9,control,different,shape3_convex_area2,1,convex,2
shape3,no_change3,10,90,same,1,2548.3,control,same,shape3_no_change3,1,none,2
shape5,concave_area1,10,91,different,1,1517.2,control,different,shape5_concave_area1,1,concave,2
shape6,no_change6,10,92,same,9,3417.5,control,same,shape6_no_change6,1,none,2
shape8,no_change4,10,93,same,8,1856,control,same,shape8_no_change4,1,none,2
shape4,concave_nofill_area1,10,94,different,9,1603.8,control,different,shape4_concave_nofill_area1,1,concave_nofill,2
shape2,no_change5,10,95,same,1,1601.5,control,same,shape2_no_change5,1,none,2
shape7,concave_nofill_area2,10,96,different,9,1757,control,different,shape7_concave_nofill_area2,1,concave_nofill,2
shape1,no_change6,10,97,same,8,2209.4,control,same,shape1_no_change6,1,none,2
catch_shape,no_change6,10,98,same,9,2054.4,control,same,catch_shape_no_change6,1,none,2
catch_shape,change3,11,99,different,9,2150.7,control,different,catch_shape_change3,1,none,2
shape4,no_change5,11,100,same,3,1872.3,control,same,shape4_no_change5,1,none,2
shape8,no_change6,11,101,same,1,3675.5,control,same,shape8_no_change6,1,none,2
shape1,no_change4,11,102,same,8,1960.5,control,same,shape1_no_change4,1,none,2
shape5,concave_area2,11,103,different,7,1622.4,control,different,shape5_concave_area2,1,concave,2
shape6,convex_area1,11,104,different,6,1957,control,different,shape6_convex_area1,1,convex,2
shape3,concave_area1,11,105,different,1,1916,control,different,shape3_concave_area1,1,concave,2
shape7,concave_area1,11,106,different,1,1702.1,control,different,shape7_concave_area1,1,concave,2
shape2,no_change6,11,107,same,9,1523.5,control,same,shape2_no_change6,1,none,2
shape5,no_change4,0,0,same,9,8827.2,control,same,shape5_no_change4,1,none,3
shape3,no_change5,0,1,same,9,1840.2,control,same,shape3_no_change5,1,none,3
shape6,no_change2,0,2,same,9,2139.8,control,same,shape6_no_change2,1,none,3
catch_shape,no_change4,0,3,same,9,4451,control,same,catch_shape_no_change4,1,none,3
shape2,no_change2,0,4,same,9,1885.8,control,same,shape2_no_change2,1,none,3
shape4,concave_nofill_area2,0,5,same,9,1706.7,control,different,shape4_concave_nofill_area2,0,concave_nofill,3
shape1,concave_area2,0,6,different,8,3389.9,control,different,shape1_concave_area2,1,concave,3
shape7,convex_area2,0,7,different,7,2512.7,control,different,shape7_convex_area2,1,convex,3
shape8,convex_area2,0,8,different,9,3036.1,control,different,shape8_convex_area2,1,convex,3
catch_shape,no_change1,1,9,same,9,1785.4,control,same,catch_shape_no_change1,1,none,3
shape7,no_change1,1,10,same,9,1949.7,control,same,shape7_no_change1,1,none,3
shape5,no_change6,1,11,same,9,2041.1,control,same,shape5_no_change6,1,none,3
